filename	status	role	genome_build	source_repository	source_accession	source_url	source_filename	processing	used_by	notes
ESO26.h3k36me2.bw	required_input	ESO26 H3K36me2 signal	hg38	NCBI GEO	GSE210220; GSM6423672	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6423672	GSM6423672_OE19_H3K36me2vsInput.SubtractCPM.bw	Renamed/symlinked locally	Chromatin analysis	The GEO supplementary basename says OE19 although the GEO sample and local analysis label are ESO26.
ESO26.wgbs.bw	required_visualization_input	ESO26 WGBS methylation signal	hg38	NCBI GEO	GSE210220; GSM6423670	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6423670	GSM6423670_ESO26.all.cov5.sorted.rmblackList.bw	Renamed/symlinked locally	Paired chromatin/methylation visualization	Paired with ESO26 H3K36me2.
TE5.h3k36me2.bw	required_input	TE5 H3K36me2 signal	hg38	NCBI GEO	GSE210220; GSM6423674	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6423674	GSM6423674_TE5_H3K36me2vsInput.SubtractCPM.bw	Renamed/symlinked locally	Chromatin analysis	Exact processed supplementary file remains available from GEO.
TE5.wgbs.bw	required_visualization_input	TE5 WGBS methylation signal	hg38	NCBI GEO	GSE210220; GSM6423671	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6423671	GSM6423671_TE5.all.cov5.sorted.rmblackList.bw	Renamed/symlinked locally	Paired chromatin/methylation visualization	Paired with TE5 H3K36me2.
