filename	status	role	genome_build	source_repository	source_accession	source_url	source_filename	processing	used_by	notes
*/samples_meth/*.npy	required_derived_input	Per-sample HM450K beta arrays	Probe annotations mapped to hg38	NCI Genomic Data Commons	TCGA	https://portal.gdc.cancer.gov/	*.methylation_array.sesame.level3betas.txt	Converted from GDC level-3 beta tables	TCGA segmentation and classification	9714 arrays are staged locally; only the 5892 samples in analyzed_tcga_samples.tsv were used in the reported classification.
analyzed_tcga_samples.tsv	required_metadata	Exact analyzed TCGA cohort	not applicable	Project-derived from NCI GDC metadata	TCGA	https://portal.gdc.cancer.gov/	Subset of ../reference_data/runAll.sh.samples	Filtered to the 14 cohorts with tumor and solid-tissue normal samples and deduplicated by sample_id	TCGA classification and Supplementary Data 1	5892 unique samples: 5508 tumor and 384 solid-tissue normal across 14 cancer types.
